variant,metric,row_index,class_label,rank,feature,value
absolute,mass,0,NO,0,THETA,0.3280925571375252
absolute,mass,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.04038928093869894
absolute,mass,0,NO,2,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.01435885117160134
absolute,mass,0,NO,3,SleepQuality_x_MMSE_x_FunctionalAssessment,0.010358317046998206
absolute,certainty,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.050917531500167285
absolute,certainty,0,NO,2,SleepQuality_x_MMSE_x_FunctionalAssessment,0.02153934378533507
absolute,certainty,0,NO,3,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.01519494854389053
absolute,plausibility,0,NO,1,CholesterolTriglycerides_x_FunctionalAssessment_x_ADL,0.6561280025774314
absolute,plausibility,0,NO,2,BMI_x_FunctionalAssessment_x_ADL,0.6525420474564883
absolute,plausibility,0,NO,3,BMI_x_MMSE_x_FunctionalAssessment,0.6492957825495764
absolute,mass,1,YES,0,THETA,0.3352188173779384
absolute,mass,1,YES,1,SystolicBP_x_FunctionalAssessment_x_ADL,0.011829892856002906
absolute,mass,1,YES,2,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.011049420282691685
absolute,mass,1,YES,3,HeadInjury_x_CholesterolTriglycerides_x_MemoryComplaints,0.009272730110297374
absolute,certainty,1,YES,1,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.018309358263197836
absolute,certainty,1,YES,2,CholesterolTriglycerides_x_BehavioralProblems_x_ADL,0.016057386313416234
absolute,certainty,1,YES,3,SystolicBP_x_FunctionalAssessment_x_ADL,0.015167782906976188
absolute,plausibility,1,YES,1,FunctionalAssessment_x_MemoryComplaints_x_BehavioralProblems,0.7001190658120705
absolute,plausibility,1,YES,2,FunctionalAssessment_x_MemoryComplaints_x_ADL,0.6959769769542492
absolute,plausibility,1,YES,3,CholesterolTriglycerides_x_FunctionalAssessment_x_MemoryComplaints,0.6707083918753824
squared,mass,0,NO,0,THETA,0.2392760673477087
squared,mass,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.04572816235192995
squared,mass,0,NO,2,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.016256884557037544
squared,mass,0,NO,3,SleepQuality_x_MMSE_x_FunctionalAssessment,0.011727537421050106
squared,certainty,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.05764809605135201
squared,certainty,0,NO,2,SleepQuality_x_MMSE_x_FunctionalAssessment,0.024386534909219007
squared,certainty,0,NO,3,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.017203501963772037
squared,plausibility,0,NO,1,CholesterolTriglycerides_x_FunctionalAssessment_x_ADL,0.6106730756041991
squared,plausibility,0,NO,2,BMI_x_FunctionalAssessment_x_ADL,0.6066131088470267
squared,plausibility,0,NO,3,BMI_x_MMSE_x_FunctionalAssessment,0.6029377344593039
squared,mass,1,YES,0,THETA,0.30720882286598367
