k,variant,nboot,theta_mean,theta_median,belpl_width_mean,belpl_width_median,shap_boot_width_mean,shap_boot_width_median
1,absolute,200,0.2652106797291158,0.2520278647598687,0.26521067972911583,0.2520278647598687,0.27717868622741415,0.286024118071897
2,absolute,200,0.30753468011826685,0.3044723648725986,0.4685915184080374,0.42721186109864984,0.04536542579340378,0.035276206864377053
3,absolute,200,0.3146922575247725,0.31103522835049136,0.6380907724114704,0.6418327587117014,0.00399553249661384,0.0027083198765271
4,absolute,200,0.325112053649577,0.3164300361386029,0.8040434162117867,0.9437125293572015,4.629695305294506e-06,0.0
1,entropy,200,0.28433306783716217,0.26794446689577983,0.2843330678371621,0.26794446689577983,0.3442755269345901,0.3537043635168882
2,entropy,200,0.3444056890284044,0.3433591931471348,0.4968867812080404,0.4549103223968894,0.1303338147178516,0.11776412787354784
3,entropy,200,0.3561692676668325,0.35113111494677185,0.6599937540455804,0.6614018583889409,0.020406123552052215,0.015948153490804688
4,entropy,200,0.33961280369691127,0.32990173310848214,0.8082546185701526,0.9453590019556414,2.609889819710716e-05,0.0
1,normalized,200,0.26471629521593376,0.25330695865129915,0.26471629521593376,0.2533069586512991,0.47289863290548406,0.478655435891872
2,normalized,200,0.30839012326945725,0.30430690546621364,0.46924783172429885,0.42718624861186844,0.07353944048769424,0.0627770155822133
3,normalized,200,0.31377634370554386,0.3093100379020558,0.6376080059270921,0.6420582416853602,0.0055507812786556275,0.0037460891529350736
4,normalized,200,0.3268133037346304,0.32369702356868396,0.8045365885402325,0.9437002252792148,3.926826692093759e-06,0.0
1,signed,200,0.26525115056058557,0.2529514846052934,0.26525115056058557,0.2529514846052934,0.40171696020700076,0.41656396155913655
2,signed,200,0.3080814249112388,0.30821385162073756,0.4690112444498824,0.42499106757912175,0.04712969328524463,0.03779223046158391
3,signed,200,0.31349897175190594,0.3077824178780588,0.6374643892196878,0.641703348999095,0.0032104899619218173,0.0021833368767901077
4,signed,200,0.32508087984459066,0.3159640864341517,0.8040345499157692,0.9439107623250698,2.1167295773207053e-06,0.0
1,squared,200,0.23858683007461154,0.22611152959348318,0.2385868300746115,0.22611152959348318,0.08214849171560108,0.08280903092387608
2,squared,200,0.26191759597470016,0.2606892689328323,0.43358194262107236,0.38461953514323255,0.0034207966879048167,0.0012541111426342595
3,squared,200,0.2711618922192748,0.271270921062826,0.615088682343971,0.6193007631685639,3.93254703047749e-05,7.5081170629111114e-06
4,squared,200,0.3053432730122157,0.3014532395438767,0.7983030671713979,0.9421679415388179,1.1074625336274884e-07,0.0
