variant,metric,row_index,class_label,rank,feature,value
absolute,mass,0,SHOW,0,THETA,0.5091991470280282
absolute,mass,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.034214694223622416
absolute,mass,0,SHOW,2,Age_x_Hipertension,0.02827931501003537
absolute,mass,0,SHOW,3,Age_x_Neighbourhood_x_SMS_received,0.024760159949406682
absolute,certainty,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.06136451189727482
absolute,certainty,0,SHOW,2,Age_x_Neighbourhood_x_SMS_received,0.05996956083783622
absolute,certainty,0,SHOW,3,Age_x_Hipertension_x_Handcap,0.04988048152136991
absolute,plausibility,0,SHOW,1,Age_x_Neighbourhood_x_SMS_received,0.997851733179961
absolute,plausibility,0,SHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9937212804561015
absolute,plausibility,0,SHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9917574131141548
absolute,mass,1,NOSHOW,0,THETA,0.4224535602924144
absolute,mass,1,NOSHOW,1,Gender_x_Age_x_Hipertension,0.054114158496506526
absolute,mass,1,NOSHOW,2,Gender_x_Neighbourhood_x_Diabetes,0.03691398953544109
absolute,mass,1,NOSHOW,3,Gender_x_Neighbourhood_x_SMS_received,0.021124236598626157
absolute,certainty,1,NOSHOW,1,Gender_x_Age_x_Neighbourhood,0.08147036239172202
absolute,certainty,1,NOSHOW,2,Gender_x_Age_x_Hipertension,0.07907237893188383
absolute,certainty,1,NOSHOW,3,Gender_x_Neighbourhood_x_Diabetes,0.07844087215530912
absolute,plausibility,1,NOSHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9871328628863596
absolute,plausibility,1,NOSHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9847248652926635
absolute,plausibility,1,NOSHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9841435619751211
squared,mass,0,SHOW,0,THETA,0.4620297641729715
squared,mass,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.03750296481510588
squared,mass,0,SHOW,2,Age_x_Hipertension,0.0309971542894697
squared,mass,0,SHOW,3,Age_x_Neighbourhood_x_SMS_received,0.027139783898985866
squared,certainty,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.06726206920156401
squared,certainty,0,SHOW,2,Age_x_Neighbourhood_x_SMS_received,0.06573305362249734
squared,certainty,0,SHOW,3,Age_x_Hipertension_x_Handcap,0.05467434346278431
squared,plausibility,0,SHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9976452697651239
squared,plausibility,0,SHOW,2,Age_x_Neighbourhood_x_Scholarship,0.993117851745225
squared,plausibility,0,SHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9909652430635519
squared,mass,1,NOSHOW,0,THETA,0.3664807687632686
squared,mass,1,NOSHOW,1,Gender_x_Age_x_Hipertension,0.059358620766646455
squared,mass,1,NOSHOW,2,Gender_x_Neighbourhood_x_Diabetes,0.04049150105438043
squared,mass,1,NOSHOW,3,Gender_x_Neighbourhood_x_SMS_received,0.02317148753821447
squared,certainty,1,NOSHOW,1,Gender_x_Age_x_Neighbourhood,0.0893660453990739
squared,certainty,1,NOSHOW,2,Gender_x_Age_x_Hipertension,0.08673566187742282
squared,certainty,1,NOSHOW,3,Gender_x_Neighbourhood_x_Diabetes,0.08604295275463963
squared,plausibility,1,NOSHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9858858470037859
squared,plausibility,1,NOSHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9832444788306042
squared,plausibility,1,NOSHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9826068386245085
signed,mass,0,SHOW,0,THETA,0.5068453252512669
signed,mass,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.034378783776159084
signed,mass,0,SHOW,2,Age_x_Hipertension,0.028414939198745385
signed,mass,0,SHOW,3,Age_x_Neighbourhood_x_SMS_received,0.024878906694307572
signed,certainty,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.06165880870533756
signed,certainty,0,SHOW,2,Age_x_Neighbourhood_x_SMS_received,0.06025716762863159
signed,certainty,0,SHOW,3,Age_x_Hipertension_x_Handcap,0.05011970230293411
signed,plausibility,0,SHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9978414303510379
signed,plausibility,0,SHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9936911684734037
signed,plausibility,0,SHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9917178826602213
signed,mass,1,NOSHOW,0,THETA,0.41643645755717335
signed,mass,1,NOSHOW,1,Gender_x_Age_x_Hipertension,0.054677940780870425
signed,mass,1,NOSHOW,2,Gender_x_Neighbourhood_x_Diabetes,0.037298573790717264
signed,mass,1,NOSHOW,3,Gender_x_Neighbourhood_x_SMS_received,0.021344317085801905
signed,certainty,1,NOSHOW,1,Gender_x_Age_x_Neighbourhood,0.08231915221481655
signed,certainty,1,NOSHOW,2,Gender_x_Age_x_Hipertension,0.07989618563354738
signed,certainty,1,NOSHOW,3,Gender_x_Neighbourhood_x_Diabetes,0.07925809957452642
signed,plausibility,1,NOSHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9869988080630614
signed,plausibility,1,NOSHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9845657230168052
signed,plausibility,1,NOSHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9839783634559176
normalized,mass,0,SHOW,0,THETA,0.5094772786845612
normalized,mass,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.03419530511799113
normalized,mass,0,SHOW,2,Age_x_Hipertension,0.02826328942107859
normalized,mass,0,SHOW,3,Age_x_Neighbourhood_x_SMS_received,0.02474612862843188
normalized,certainty,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.0613297372768906
normalized,certainty,0,SHOW,2,Age_x_Neighbourhood_x_SMS_received,0.05993557672147537
normalized,certainty,0,SHOW,3,Age_x_Hipertension_x_Handcap,0.04985221477963503
normalized,plausibility,0,SHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9978529505800644
normalized,plausibility,0,SHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9937248385401124
normalized,plausibility,0,SHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9917620841010341
normalized,mass,1,NOSHOW,0,THETA,0.41977398302995866
normalized,mass,1,NOSHOW,1,Gender_x_Age_x_Hipertension,0.05436522587172499
normalized,mass,1,NOSHOW,2,Gender_x_Neighbourhood_x_Diabetes,0.03708525522115074
normalized,mass,1,NOSHOW,3,Gender_x_Neighbourhood_x_SMS_received,0.02122224434343204
normalized,certainty,1,NOSHOW,1,Gender_x_Age_x_Neighbourhood,0.0818483512695331
normalized,certainty,1,NOSHOW,2,Gender_x_Age_x_Hipertension,0.07943924215552592
normalized,certainty,1,NOSHOW,3,Gender_x_Neighbourhood_x_Diabetes,0.07880480544798243
normalized,plausibility,1,NOSHOW,1,Age_x_Neighbourhood_x_SMS_received,0.987073164677398
normalized,plausibility,1,NOSHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9846539949680821
normalized,plausibility,1,NOSHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9840699946429137
bootstrap,mass,0,SHOW,0,THETA,0.5519744724753075
bootstrap,mass,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.031232742029300986
bootstrap,mass,0,SHOW,2,Age_x_Hipertension,0.025814655676915835
bootstrap,mass,0,SHOW,3,Age_x_Neighbourhood_x_SMS_received,0.022602209543352583
bootstrap,certainty,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.05601634073696658
bootstrap,certainty,0,SHOW,2,Age_x_Neighbourhood_x_SMS_received,0.05474296543516816
bootstrap,certainty,0,SHOW,3,Age_x_Hipertension_x_Handcap,0.04553319113337734
bootstrap,plausibility,0,SHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9980389635236293
bootstrap,plausibility,0,SHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9942684968479557
bootstrap,plausibility,0,SHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9924757886720503
bootstrap,mass,1,NOSHOW,0,THETA,0.46806286402157665
bootstrap,mass,1,NOSHOW,1,Gender_x_Age_x_Hipertension,0.049840720169772444
bootstrap,mass,1,NOSHOW,2,Gender_x_Neighbourhood_x_Diabetes,0.033998862292289024
bootstrap,mass,1,NOSHOW,3,Gender_x_Neighbourhood_x_SMS_received,0.019456038758879735
bootstrap,certainty,1,NOSHOW,1,Gender_x_Age_x_Neighbourhood,0.0750365827892881
bootstrap,certainty,1,NOSHOW,2,Gender_x_Age_x_Hipertension,0.07282796999895425
bootstrap,certainty,1,NOSHOW,3,Gender_x_Neighbourhood_x_Diabetes,0.07224633381701848
bootstrap,plausibility,1,NOSHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9881489909834138
bootstrap,plausibility,1,NOSHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9859311548833729
bootstrap,plausibility,1,NOSHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9853957575532035
bayes,mass,0,SHOW,0,THETA,0.5091166414931975
bayes,mass,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.034220445846972085
bayes,mass,0,SHOW,2,Age_x_Hipertension,0.02828406887302362
bayes,mass,0,SHOW,3,Age_x_Neighbourhood_x_SMS_received,0.02476432222872374
bayes,certainty,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.06137482751071162
bayes,certainty,0,SHOW,2,Age_x_Neighbourhood_x_SMS_received,0.05997964195456722
bayes,certainty,0,SHOW,3,Age_x_Hipertension_x_Handcap,0.04988886662457544
bayes,plausibility,0,SHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9978513720479419
bayes,plausibility,0,SHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9937202249788932
bayes,plausibility,0,SHOW,3,Age_x_Neighbourhood_x_Diabetes,0.991756027503198
bayes,mass,1,NOSHOW,0,THETA,0.4244684229716562
bayes,mass,1,NOSHOW,1,Gender_x_Age_x_Hipertension,0.053925372641591716
bayes,mass,1,NOSHOW,2,Gender_x_Neighbourhood_x_Diabetes,0.03678520920758633
bayes,mass,1,NOSHOW,3,Gender_x_Neighbourhood_x_SMS_received,0.021050541337044072
bayes,certainty,1,NOSHOW,1,Gender_x_Age_x_Neighbourhood,0.08118614006540914
bayes,certainty,1,NOSHOW,2,Gender_x_Age_x_Hipertension,0.07879652235254209
bayes,certainty,1,NOSHOW,3,Gender_x_Neighbourhood_x_Diabetes,0.0781672186878703
bayes,plausibility,1,NOSHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9871777519421592
bayes,plausibility,1,NOSHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9847781550313343
bayes,plausibility,1,NOSHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9841988796829374
entropy,mass,0,SHOW,0,THETA,0.516768082109836
entropy,mass,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.033687048850036844
entropy,mass,0,SHOW,2,Age_x_Hipertension,0.027843202688361823
entropy,mass,0,SHOW,3,Age_x_Neighbourhood_x_SMS_received,0.02437831863405968
entropy,certainty,0,SHOW,1,Neighbourhood_x_Hipertension_x_SMS_received,0.060418172859628846
entropy,certainty,0,SHOW,2,Age_x_Neighbourhood_x_SMS_received,0.05904473417928913
entropy,certainty,0,SHOW,3,Age_x_Hipertension_x_Handcap,0.049111244621722255
entropy,plausibility,0,SHOW,1,Age_x_Neighbourhood_x_SMS_received,0.9978848628943874
entropy,plausibility,0,SHOW,2,Age_x_Neighbourhood_x_Scholarship,0.9938181083657041
entropy,plausibility,0,SHOW,3,Age_x_Neighbourhood_x_Diabetes,0.9918845270029496
entropy,mass,1,NOSHOW,0,THETA,0.42943142382906174
entropy,mass,1,NOSHOW,1,Gender_x_Age_x_Hipertension,0.053460356157113136
entropy,mass,1,NOSHOW,2,Gender_x_Neighbourhood_x_Diabetes,0.03646799807248279
