k,variant,nboot,theta_mean,theta_median,belpl_width_mean,belpl_width_median,shap_boot_width_mean,shap_boot_width_median
1,absolute,200,0.5804815321376475,0.5842816031225875,0.5804815321376476,0.5842816031225875,0.0941126606550566,0.08298669954208024
2,absolute,200,0.5876946121505905,0.5903597528386262,0.7280130938169694,0.7326607151022206,0.036079405210956414,0.02987661840146039
3,absolute,200,0.5584057263683316,0.5731055163586193,0.8376444959894371,0.8545475448547776,0.01424490743596529,0.012573197302236891
4,absolute,200,0.5229293916632249,0.5330937359550105,0.9075985572605639,0.9303048500535888,0.008211053659533707,0.007588177922577861
1,entropy,200,0.601560137071873,0.6058302457709761,0.6015601370718728,0.6058302457709761,0.2070937784318478,0.20390482511285168
2,entropy,200,0.6025204479964876,0.6018069284557169,0.7378142690189374,0.741182990521214,0.11518396607078452,0.10485309743596342
3,entropy,200,0.5703726122335646,0.5799623968671284,0.8420349048136837,0.8580201402810964,0.05923870952526265,0.05502266426248135
4,entropy,200,0.5306478724505447,0.5395490312492305,0.9091104052617804,0.9313457928531232,0.039022751393657844,0.03703899013328188
1,normalized,200,0.5817167383182071,0.5847126990328283,0.581716738318207,0.5847126990328283,0.5864553016867703,0.5691399986936891
2,normalized,200,0.5870024742309279,0.589495440309687,0.7275588844781602,0.7324759507561862,0.20750971941391153,0.19433339109173564
3,normalized,200,0.5585495288112753,0.5720120032957906,0.8376907493951237,0.8543368391909885,0.06482280409969704,0.06212858937930747
4,normalized,200,0.522888726304561,0.5326498618317625,0.9075788774191066,0.9303250911287892,0.03073772729064793,0.029956627941133025
1,signed,200,0.5810432182267824,0.5868874759880285,0.5810432182267825,0.5868874759880285,0.12718564813983643,0.11474454454226424
2,signed,200,0.5870453207953037,0.5899370562198605,0.727587809594138,0.7322854435663955,0.04891841037679985,0.044385520160588554
3,signed,200,0.5586343550821199,0.5732125485318716,0.8377327961392501,0.8544674247143667,0.020058271623300317,0.018543572499495807
4,signed,200,0.5236873466593356,0.533489661235695,0.9077439437332012,0.9304130795498011,0.011815508556688368,0.011107860258970254
1,squared,200,0.5439926221531127,0.5450731049745668,0.5439926221531127,0.5450731049745668,0.011863873697254716,0.00692449398933309
2,squared,200,0.5369072377262958,0.5428531509412837,0.6945210776219868,0.701185726192146,0.0017095432693446642,0.0009025817550248802
3,squared,200,0.5018818520267342,0.5251928499867082,0.8168914399850662,0.8369317922883073,0.000250473915909119,0.00015834759020164115
4,squared,200,0.47176242649190014,0.4849969076591732,0.8976159403445582,0.9229427545096609,7.530562459613841e-05,5.760915859314389e-05
